Pokemon,Type,Species,Height,Weight,Abilities,EV Yield,Catch Rate,Base Friendship,Base Exp,Growth Rate,Egg Groups,Gender,Egg Cycles,HP Base,HP Min,HP Max,Attack Base,Attack Min,Attack Max,Defense Base,Defense Min,Defense Max,Special Attack Base,Special Attack Min,Special Attack Max,Special Defense Base,Special Defense Min,Special Defense Max,Speed Base,Speed Min,Speed Max
Dewgong,"Water, Ice",Sea Lion Pokémon,1.7 m (5′07″),120.0 kg (264.6 lbs),"1. Thick Fat, 2. Hydration, Ice Body (hidden ability)",2 Sp. Def,"75 (9.8% with PokéBall, full HP)",50 (normal),166,Medium Fast,"Field, Water 1","50% male, 50% female","20 (4,884–5,140 steps)",90,290,384,70,130,262,80,148,284,70,130,262,95,175,317,70,130,262
Dewott,Water,Discipline Pokémon,0.8 m (2′07″),24.5 kg (54.0 lbs),"1. Torrent, Shell Armor (hidden ability)",2 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),145,Medium Slow,Field,"87.5% male, 12.5% female","20 (4,884–5,140 steps)",75,260,354,75,139,273,60,112,240,83,153,291,60,112,240,60,112,240
Dewpider,"Water, Bug",Water Bubble Pokémon,0.3 m (1′00″),4.0 kg (8.8 lbs),"1. Water Bubble, Water Absorb (hidden ability)",1 Sp. Def,"200 (26.1% with PokéBall, full HP)",50 (normal),54,Medium Fast,"Bug, Water 1","50% male, 50% female","15 (3,599–3,855 steps)",38,186,280,40,76,196,52,98,223,40,76,196,72,134,267,27,53,168
Dhelmise,"Ghost, Grass",Sea Creeper Pokémon,3.9 m (12′10″),210.0 kg (463.0 lbs),1. Steelworker,2 Attack,"25 (3.3% with PokéBall, full HP)",50 (normal),181,Medium Fast,Mineral,Genderless,"25 (6,169–6,425 steps)",70,250,344,131,240,397,100,184,328,86,159,298,90,166,306,40,76,196
Dialga,"Steel, Dragon",Temporal Pokémon,5.4 m (17′09″),683.0 kg (1505.8 lbs),"1. Pressure, Telepathy (hidden ability)",3 Sp. Atk,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),340,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",100,310,404,120,220,372,120,220,372,150,274,438,100,184,328,90,166,306
Dialga Origin Forme,"Steel, Dragon",Temporal Pokémon,7.0 m (23′00″),850.0 kg (1873.9 lbs),"1. Pressure, Telepathy (hidden ability)",3 Sp. Atk,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),340,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",100,310,404,100,184,328,120,220,372,150,274,438,120,220,372,90,166,306
Diancie,"Rock, Fairy",Jewel Pokémon,0.7 m (2′04″),8.8 kg (19.4 lbs),1. Clear Body,"1 Defense, 2 Sp. Def","3 (0.4% with PokéBall, full HP)",50 (normal),300,Slow,Undiscovered,Genderless,"25 (6,169–6,425 steps)",50,210,304,100,184,328,150,274,438,100,184,328,150,274,438,50,94,218
Mega Diancie,"Rock, Fairy",Jewel Pokémon,1.1 m (3′07″),27.8 kg (61.3 lbs),1. Magic Bounce,"1 Defense, 2 Sp. Def","3 (0.4% with PokéBall, full HP)",50 (normal),315,Slow,Undiscovered,Genderless,"25 (6,169–6,425 steps)",50,210,304,160,292,460,110,202,350,160,292,460,110,202,350,110,202,350
Diggersby,"Normal, Ground",Digging Pokémon,1.0 m (3′03″),42.4 kg (93.5 lbs),"1. Pickup, 2. Cheek Pouch, Huge Power (hidden ability)",2 HP,"127 (16.6% with PokéBall, full HP)",50 (normal),148,Medium Fast,Field,"50% male, 50% female","15 (3,599–3,855 steps)",85,280,374,56,105,232,77,143,278,50,94,218,77,143,278,78,144,280
Diglett,Ground,Mole Pokémon,0.2 m (0′08″),0.8 kg (1.8 lbs),"1. Sand Veil, 2. Arena Trap, Sand Force (hidden ability)",1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),53,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",10,130,224,55,103,229,25,49,163,35,67,185,45,85,207,95,175,317
Alolan Diglett,"Ground, Steel",Mole Pokémon,0.2 m (0′08″),1.0 kg (2.2 lbs),"1. Sand Veil, 2. Tangling Hair, Sand Force (hidden ability)",1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),53,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",10,130,224,55,103,229,30,58,174,35,67,185,45,85,207,90,166,306
Dipplin,"Grass, Dragon",Candy Apple Pokémon,0.4 m (1′04″),4.4 kg (9.7 lbs),"1. Supersweet Syrup, 2. Gluttony, Sticky Hold (hidden ability)",2 Defense,"45 (5.9% with PokéBall, full HP)",—,—,Erratic,"Dragon, Grass","50% male, 50% female",—,80,270,364,80,148,284,110,202,350,95,175,317,80,148,284,40,76,196
Ditto,Normal,Transform Pokémon,0.3 m (1′00″),4.0 kg (8.8 lbs),"1. Limber, Imposter (hidden ability)",1 HP,"35 (4.6% with PokéBall, full HP)",50 (normal),101,Medium Fast,Ditto,Genderless,"20 (4,884–5,140 steps)",48,206,300,48,90,214,48,90,214,48,90,214,48,90,214,48,90,214
Dodrio,"Normal, Flying",Triple Bird Pokémon,1.8 m (5′11″),85.2 kg (187.8 lbs),"1. Run Away, 2. Early Bird, Tangled Feet (hidden ability)",2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),165,Medium Fast,Flying,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,110,202,350,70,130,262,60,112,240,60,112,240,110,202,350
Doduo,"Normal, Flying",Twin Bird Pokémon,1.4 m (4′07″),39.2 kg (86.4 lbs),"1. Run Away, 2. Early Bird, Tangled Feet (hidden ability)",1 Attack,"190 (24.8% with PokéBall, full HP)",50 (normal),62,Medium Fast,Flying,"50% male, 50% female","20 (4,884–5,140 steps)",35,180,274,85,157,295,45,85,207,35,67,185,35,67,185,75,139,273
Dolliv,"Grass, Normal",Olive Pokémon,0.6 m (2′00″),11.9 kg (26.2 lbs),"1. Early Bird, Harvest (hidden ability)",2 Sp. Atk,"120 (15.7% with PokéBall, full HP)",50 (normal),124,Medium Slow,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",52,214,308,53,99,225,60,112,240,78,144,280,78,144,280,33,63,181
Dondozo,Water,Big Catfish Pokémon,12.0 m (39′04″),220.0 kg (485.0 lbs),"1. Unaware, 2. Oblivious, Water Veil (hidden ability)",3 HP,"25 (3.3% with PokéBall, full HP)",50 (normal),265,Slow,Water 2,"50% male, 50% female","40 (10,024–10,280 steps)",150,410,504,100,184,328,115,211,361,65,121,251,65,121,251,35,67,185
Donphan,Ground,Armor Pokémon,1.1 m (3′07″),120.0 kg (264.6 lbs),"1. Sturdy, Sand Veil (hidden ability)","1 Attack, 1 Defense","60 (7.8% with PokéBall, full HP)",50 (normal),175,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",90,290,384,120,220,372,120,220,372,60,112,240,60,112,240,50,94,218
Dottler,"Bug, Psychic",Radome Pokémon,0.4 m (1′04″),19.5 kg (43.0 lbs),"1. Swarm, 2. Compound Eyes, Telepathy (hidden ability)",2 Sp. Def,"120 (15.7% with PokéBall, full HP)",50 (normal),117,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",50,210,304,35,67,185,80,148,284,50,94,218,90,166,306,30,58,174
Doublade,"Steel, Ghost",Sword Pokémon,0.8 m (2′07″),4.5 kg (9.9 lbs),1. No Guard,2 Defense,"90 (11.8% with PokéBall, full HP)",50 (normal),157,Medium Fast,Mineral,"50% male, 50% female","20 (4,884–5,140 steps)",59,228,322,110,202,350,150,274,438,45,85,207,49,92,216,35,67,185
Dracovish,"Water, Dragon",Fossil Pokémon,2.3 m (7′07″),215.0 kg (474.0 lbs),"1. Water Absorb, 2. Strong Jaw, Sand Rush (hidden ability)",2 Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),177,Slow,Undiscovered,Genderless,"35 (8,739–8,995 steps)",90,290,384,90,166,306,100,184,328,70,130,262,80,148,284,75,139,273
Dracozolt,"Electric, Dragon",Fossil Pokémon,1.8 m (5′11″),190.0 kg (418.9 lbs),"1. Volt Absorb, 2. Hustle, Sand Rush (hidden ability)",2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),177,Slow,Undiscovered,Genderless,"35 (8,739–8,995 steps)",90,290,384,100,184,328,90,166,306,80,148,284,70,130,262,75,139,273
Dragalge,"Poison, Dragon",Mock Kelp Pokémon,1.8 m (5′11″),81.5 kg (179.7 lbs),"1. Poison Point, 2. Poison Touch, Adaptability (hidden ability)",2 Sp. Def,"55 (7.2% with PokéBall, full HP)",50 (normal),173,Medium Fast,"Dragon, Water 1","50% male, 50% female","20 (4,884–5,140 steps)",65,240,334,75,139,273,90,166,306,97,179,322,123,225,379,44,83,205
Dragapult,"Dragon, Ghost",Stealth Pokémon,3.0 m (9′10″),50.0 kg (110.2 lbs),"1. Clear Body, 2. Infiltrator, Cursed Body (hidden ability)",3 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),300,Slow,"Amorphous, Dragon","50% male, 50% female","40 (10,024–10,280 steps)",88,286,380,120,220,372,75,139,273,100,184,328,75,139,273,142,260,421
Dragonair,Dragon,Dragon Pokémon,4.0 m (13′01″),16.5 kg (36.4 lbs),"1. Shed Skin, Marvel Scale (hidden ability)",2 Attack,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),147,Slow,"Dragon, Water 1","50% male, 50% female","40 (10,024–10,280 steps)",61,232,326,84,155,293,65,121,251,70,130,262,70,130,262,70,130,262
Dragonite,"Dragon, Flying",Dragon Pokémon,2.2 m (7′03″),210.0 kg (463.0 lbs),"1. Inner Focus, Multiscale (hidden ability)",3 Attack,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),300,Slow,"Dragon, Water 1","50% male, 50% female","40 (10,024–10,280 steps)",91,292,386,134,245,403,95,175,317,100,184,328,100,184,328,80,148,284
Drakloak,"Dragon, Ghost",Caretaker Pokémon,1.4 m (4′07″),11.0 kg (24.3 lbs),"1. Clear Body, 2. Infiltrator, Cursed Body (hidden ability)",2 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),144,Slow,"Amorphous, Dragon","50% male, 50% female","40 (10,024–10,280 steps)",68,246,340,80,148,284,50,94,218,60,112,240,50,94,218,102,188,333
Drampa,"Normal, Dragon",Placid Pokémon,3.0 m (9′10″),185.0 kg (407.9 lbs),"1. Berserk, 2. Sap Sipper, Cloud Nine (hidden ability)",2 Sp. Atk,"70 (9.1% with PokéBall, full HP)",50 (normal),170,Medium Fast,"Dragon, Monster","50% male, 50% female","20 (4,884–5,140 steps)",78,266,360,60,112,240,85,157,295,135,247,405,91,168,309,36,69,188
Drapion,"Poison, Dark",Ogre Scorp Pokémon,1.3 m (4′03″),61.5 kg (135.6 lbs),"1. Battle Armor, 2. Sniper, Keen Eye (hidden ability)",2 Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),175,Slow,"Bug, Water 3","50% male, 50% female","20 (4,884–5,140 steps)",70,250,344,90,166,306,110,202,350,60,112,240,75,139,273,95,175,317
Dratini,Dragon,Dragon Pokémon,1.8 m (5′11″),3.3 kg (7.3 lbs),"1. Shed Skin, Marvel Scale (hidden ability)",1 Attack,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),60,Slow,"Dragon, Water 1","50% male, 50% female","40 (10,024–10,280 steps)",41,192,286,64,119,249,45,85,207,50,94,218,50,94,218,50,94,218
Drednaw,"Water, Rock",Bite Pokémon,1.0 m (3′03″),115.5 kg (254.6 lbs),"1. Strong Jaw, 2. Shell Armor, Swift Swim (hidden ability)",2 Attack,"75 (9.8% with PokéBall, full HP)",50 (normal),170,Medium Fast,"Monster, Water 1","50% male, 50% female","20 (4,884–5,140 steps)",90,290,384,115,211,361,90,166,306,48,90,214,68,126,258,74,137,271
Dreepy,"Dragon, Ghost",Lingering Pokémon,0.5 m (1′08″),2.0 kg (4.4 lbs),"1. Clear Body, 2. Infiltrator, Cursed Body (hidden ability)",1 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),54,Slow,"Amorphous, Dragon","50% male, 50% female","40 (10,024–10,280 steps)",28,166,260,60,112,240,30,58,174,40,76,196,30,58,174,82,152,289
Drifblim,"Ghost, Flying",Blimp Pokémon,1.2 m (3′11″),15.0 kg (33.1 lbs),"1. Aftermath, 2. Unburden, Flare Boost (hidden ability)",2 HP,"60 (7.8% with PokéBall, full HP)",50 (normal),174,Fluctuating,Amorphous,"50% male, 50% female","30 (7,454–7,710 steps)",150,410,504,80,148,284,44,83,205,90,166,306,54,101,227,80,148,284
Drifloon,"Ghost, Flying",Balloon Pokémon,0.4 m (1′04″),1.2 kg (2.6 lbs),"1. Aftermath, 2. Unburden, Flare Boost (hidden ability)",1 HP,"125 (16.3% with PokéBall, full HP)",50 (normal),70,Fluctuating,Amorphous,"50% male, 50% female","30 (7,454–7,710 steps)",90,290,384,50,94,218,34,65,183,60,112,240,44,83,205,70,130,262
Drilbur,Ground,Mole Pokémon,0.3 m (1′00″),8.5 kg (18.7 lbs),"1. Sand Rush, 2. Sand Force, Mold Breaker (hidden ability)",1 Attack,"120 (15.7% with PokéBall, full HP)",50 (normal),66,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,85,157,295,40,76,196,30,58,174,45,85,207,68,126,258
Drizzile,Water,Water lizard Pokémon,0.7 m (2′04″),11.5 kg (25.4 lbs),"1. Torrent, Sniper (hidden ability)",2 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),147,Medium Slow,"Field, Water 1","87.5% male, 12.5% female","20 (4,884–5,140 steps)",65,240,334,60,112,240,55,103,229,95,175,317,55,103,229,90,166,306
Drowzee,Psychic,Hypnosis Pokémon,1.0 m (3′03″),32.4 kg (71.4 lbs),"1. Insomnia, 2. Forewarn, Inner Focus (hidden ability)",1 Sp. Def,"190 (24.8% with PokéBall, full HP)",50 (normal),66,Medium Fast,Human-Like,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,48,90,214,45,85,207,43,81,203,90,166,306,42,80,201
Druddigon,Dragon,Cave Pokémon,1.6 m (5′03″),139.0 kg (306.4 lbs),"1. Rough Skin, 2. Sheer Force, Mold Breaker (hidden ability)",2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),170,Medium Fast,"Dragon, Monster","50% male, 50% female","30 (7,454–7,710 steps)",77,264,358,120,220,372,90,166,306,60,112,240,90,166,306,48,90,214
Dubwool,Normal,Sheep Pokémon,1.3 m (4′03″),43.0 kg (94.8 lbs),"1. Fluffy, 2. Steadfast, Bulletproof (hidden ability)",2 Defense,"127 (16.6% with PokéBall, full HP)",50 (normal),172,Medium Fast,Field,"50% male, 50% female","15 (3,599–3,855 steps)",72,254,348,80,148,284,100,184,328,60,112,240,90,166,306,88,162,302
Ducklett,"Water, Flying",Water Bird Pokémon,0.5 m (1′08″),5.5 kg (12.1 lbs),"1. Keen Eye, 2. Big Pecks, Hydration (hidden ability)",1 HP,"190 (24.8% with PokéBall, full HP)",50 (normal),61,Medium Fast,"Flying, Water 1","50% male, 50% female","20 (4,884–5,140 steps)",62,234,328,44,83,205,50,94,218,44,83,205,50,94,218,55,103,229
Dudunsparce Two-Segment Form,Normal,Land Snake Pokémon,3.6 m (11′10″),39.2 kg (86.4 lbs),"1. Serene Grace, 2. Run Away, Rattled (hidden ability)",2 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),182,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",125,360,454,100,184,328,80,148,284,85,157,295,75,139,273,55,103,229
Dudunsparce Three-Segment Form,Normal,Land Snake Pokémon,4.5 m (14′09″),47.4 kg (104.5 lbs),"1. Serene Grace, 2. Run Away, Rattled (hidden ability)",2 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),182,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",125,360,454,100,184,328,80,148,284,85,157,295,75,139,273,55,103,229
Dugtrio,Ground,Mole Pokémon,0.7 m (2′04″),33.3 kg (73.4 lbs),"1. Sand Veil, 2. Arena Trap, Sand Force (hidden ability)",2 Speed,"50 (6.5% with PokéBall, full HP)",50 (normal),149,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",35,180,274,100,184,328,50,94,218,50,94,218,70,130,262,120,220,372
Alolan Dugtrio,"Ground, Steel",Mole Pokémon,0.7 m (2′04″),66.6 kg (146.8 lbs),"1. Sand Veil, 2. Tangling Hair, Sand Force (hidden ability)",2 Attack,"50 (6.5% with PokéBall, full HP)",50 (normal),149,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",35,180,274,100,184,328,60,112,240,50,94,218,70,130,262,110,202,350
Dunsparce,Normal,Land Snake Pokémon,1.5 m (4′11″),14.0 kg (30.9 lbs),"1. Serene Grace, 2. Run Away, Rattled (hidden ability)",1 HP,"190 (24.8% with PokéBall, full HP)",50 (normal),145,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",100,310,404,70,130,262,70,130,262,65,121,251,65,121,251,45,85,207
Duosion,Psychic,Mitosis Pokémon,0.6 m (2′00″),8.0 kg (17.6 lbs),"1. Overcoat, 2. Magic Guard, Regenerator (hidden ability)",2 Sp. Atk,"100 (13.1% with PokéBall, full HP)",50 (normal),130,Medium Slow,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",65,240,334,40,76,196,50,94,218,125,229,383,60,112,240,30,58,174
Duraludon,"Steel, Dragon",Alloy Pokémon,1.8 m (5′11″),40.0 kg (88.2 lbs),"1. Light Metal, 2. Heavy Metal, Stalwart (hidden ability)",2 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),187,Medium Fast,"Dragon, Mineral","50% male, 50% female","30 (7,454–7,710 steps)",70,250,344,95,175,317,115,211,361,120,220,372,50,94,218,85,157,295
Durant,"Bug, Steel",Iron Ant Pokémon,0.3 m (1′00″),33.0 kg (72.8 lbs),"1. Swarm, 2. Hustle, Truant (hidden ability)",2 Defense,"90 (11.8% with PokéBall, full HP)",50 (normal),169,Medium Fast,Bug,"50% male, 50% female","20 (4,884–5,140 steps)",58,226,320,109,200,348,112,206,355,48,90,214,48,90,214,109,200,348
Dusclops,Ghost,Beckon Pokémon,1.6 m (5′03″),30.6 kg (67.5 lbs),"1. Pressure, Frisk (hidden ability)","1 Defense, 1 Sp. Def","90 (11.8% with PokéBall, full HP)",35 (lower than normal),159,Fast,Amorphous,"50% male, 50% female","25 (6,169–6,425 steps)",40,190,284,70,130,262,130,238,394,60,112,240,130,238,394,25,49,163
Dusknoir,Ghost,Gripper Pokémon,2.2 m (7′03″),106.6 kg (235.0 lbs),"1. Pressure, Frisk (hidden ability)","1 Defense, 2 Sp. Def","45 (5.9% with PokéBall, full HP)",35 (lower than normal),236,Fast,Amorphous,"50% male, 50% female","25 (6,169–6,425 steps)",45,200,294,100,184,328,135,247,405,65,121,251,135,247,405,45,85,207
Duskull,Ghost,Requiem Pokémon,0.8 m (2′07″),15.0 kg (33.1 lbs),"1. Levitate, Frisk (hidden ability)",1 Sp. Def,"190 (24.8% with PokéBall, full HP)",35 (lower than normal),59,Fast,Amorphous,"50% male, 50% female","25 (6,169–6,425 steps)",20,150,244,40,76,196,90,166,306,30,58,174,90,166,306,25,49,163
Dustox,"Bug, Poison",Poison Moth Pokémon,1.2 m (3′11″),31.6 kg (69.7 lbs),"1. Shield Dust, Compound Eyes (hidden ability)",3 Sp. Def,"45 (5.9% with PokéBall, full HP)",50 (normal),173,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",60,230,324,50,94,218,70,130,262,50,94,218,90,166,306,65,121,251
Dwebble,"Bug, Rock",Rock Inn Pokémon,0.3 m (1′00″),14.5 kg (32.0 lbs),"1. Sturdy, 2. Shell Armor, Weak Armor (hidden ability)",1 Defense,"190 (24.8% with PokéBall, full HP)",50 (normal),65,Medium Fast,"Bug, Mineral","50% male, 50% female","20 (4,884–5,140 steps)",50,210,304,65,121,251,85,157,295,35,67,185,35,67,185,55,103,229
Eelektrik,Electric,EleFish Pokémon,1.2 m (3′11″),22.0 kg (48.5 lbs),1. Levitate,2 Attack,"60 (7.8% with PokéBall, full HP)",50 (normal),142,Slow,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",65,240,334,85,157,295,70,130,262,75,139,273,70,130,262,40,76,196
Eelektross,Electric,EleFish Pokémon,2.1 m (6′11″),80.5 kg (177.5 lbs),1. Levitate,3 Attack,"30 (3.9% with PokéBall, full HP)",50 (normal),258,Slow,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",85,280,374,115,211,361,80,148,284,105,193,339,80,148,284,50,94,218
Eevee,Normal,Evolution Pokémon,0.3 m (1′00″),6.5 kg (14.3 lbs),"1. Run Away, 2. Adaptability, Anticipation (hidden ability)",1 Sp. Def,"45 (5.9% with PokéBall, full HP)",50 (normal),65,Medium Fast,Field,"87.5% male, 12.5% female","35 (8,739–8,995 steps)",55,220,314,55,103,229,50,94,218,45,85,207,65,121,251,55,103,229
Partner Eevee,Normal,Evolution Pokémon,0.3 m (1′00″),6.5 kg (14.3 lbs),—,1 Sp. Def,"45 (5.9% with PokéBall, full HP)",50 (normal),65,Medium Fast,—,"87.5% male, 12.5% female","35 (8,739–8,995 steps)",65,240,334,75,139,273,70,130,262,65,121,251,85,157,295,75,139,273
Eiscue Ice Face,Ice,Penguin Pokémon,1.4 m (4′07″),89.0 kg (196.2 lbs),1. Ice Face,2 Defense,"60 (7.8% with PokéBall, full HP)",50 (normal),165,Slow,"Field, Water 1","50% male, 50% female","25 (6,169–6,425 steps)",75,260,354,80,148,284,110,202,350,65,121,251,90,166,306,50,94,218
Eiscue Noice Face,Ice,Penguin Pokémon,1.4 m (4′07″),89.0 kg (196.2 lbs),1. Ice Face,2 Defense,"60 (7.8% with PokéBall, full HP)",50 (normal),165,Slow,"Field, Water 1","50% male, 50% female","25 (6,169–6,425 steps)",75,260,354,80,148,284,70,130,262,65,121,251,50,94,218,130,238,394
Ekans,Poison,Snake Pokémon,2.0 m (6′07″),6.9 kg (15.2 lbs),"1. Intimidate, 2. Shed Skin, Unnerve (hidden ability)",1 Attack,"255 (33.3% with PokéBall, full HP)",50 (normal),58,Medium Fast,"Dragon, Field","50% male, 50% female","20 (4,884–5,140 steps)",35,180,274,60,112,240,44,83,205,40,76,196,54,101,227,55,103,229
Eldegoss,Grass,Cotton Bloom Pokémon,0.5 m (1′08″),2.5 kg (5.5 lbs),"1. Cotton Down, 2. Regenerator, Effect Spore (hidden ability)",2 Sp. Def,"75 (9.8% with PokéBall, full HP)",50 (normal),161,Medium Fast,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,50,94,218,90,166,306,80,148,284,120,220,372,60,112,240
Electabuzz,Electric,Electric Pokémon,1.1 m (3′07″),30.0 kg (66.1 lbs),"1. Static, Vital Spirit (hidden ability)",2 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),172,Medium Fast,Human-Like,"75% male, 25% female","25 (6,169–6,425 steps)",65,240,334,83,153,291,57,107,234,95,175,317,85,157,295,105,193,339
Electivire,Electric,Thunderbolt Pokémon,1.8 m (5′11″),138.6 kg (305.6 lbs),"1. Motor Drive, Vital Spirit (hidden ability)",3 Attack,"30 (3.9% with PokéBall, full HP)",50 (normal),243,Medium Fast,Human-Like,"75% male, 25% female","25 (6,169–6,425 steps)",75,260,354,123,225,379,67,125,256,95,175,317,85,157,295,95,175,317
Electrike,Electric,Lightning Pokémon,0.6 m (2′00″),15.2 kg (33.5 lbs),"1. Static, 2. Lightning Rod, Minus (hidden ability)",1 Speed,"120 (15.7% with PokéBall, full HP)",50 (normal),59,Slow,Field,"50% male, 50% female","20 (4,884–5,140 steps)",40,190,284,45,85,207,40,76,196,65,121,251,40,76,196,65,121,251
Electrode,Electric,Ball Pokémon,1.2 m (3′11″),66.6 kg (146.8 lbs),"1. Soundproof, 2. Static, Aftermath (hidden ability)",2 Speed,"60 (7.8% with PokéBall, full HP)",50 (normal),172,Medium Fast,Mineral,Genderless,"20 (4,884–5,140 steps)",60,230,324,50,94,218,70,130,262,80,148,284,80,148,284,150,274,438
Hisuian Electrode,"Electric, Grass",Sphere Pokémon,1.2 m (3′11″),71.0 kg (156.5 lbs),"1. Soundproof, 2. Static, Aftermath (hidden ability)",2 Speed,"60 (7.8% with PokéBall, full HP)",50 (normal),172,Medium Fast,Mineral,Genderless,"20 (4,884–5,140 steps)",60,230,324,50,94,218,70,130,262,80,148,284,80,148,284,150,274,438
Elekid,Electric,Electric Pokémon,0.6 m (2′00″),23.5 kg (51.8 lbs),"1. Static, Vital Spirit (hidden ability)",1 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),72,Medium Fast,Undiscovered,"75% male, 25% female","25 (6,169–6,425 steps)",45,200,294,63,117,247,37,71,190,65,121,251,55,103,229,95,175,317
Elgyem,Psychic,Cerebral Pokémon,0.5 m (1′08″),9.0 kg (19.8 lbs),"1. Telepathy, 2. Synchronize, Analytic (hidden ability)",1 Sp. Atk,"255 (33.3% with PokéBall, full HP)",50 (normal),67,Medium Fast,Human-Like,"50% male, 50% female","20 (4,884–5,140 steps)",55,220,314,55,103,229,55,103,229,85,157,295,55,103,229,30,58,174
Emboar,"Fire, Fighting",Mega Fire Pig Pokémon,1.6 m (5′03″),150.0 kg (330.7 lbs),"1. Blaze, Reckless (hidden ability)",3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),238,Medium Slow,Field,"87.5% male, 12.5% female","20 (4,884–5,140 steps)",110,330,424,123,225,379,65,121,251,100,184,328,65,121,251,65,121,251
Emolga,"Electric, Flying",Sky Squirrel Pokémon,0.4 m (1′04″),5.0 kg (11.0 lbs),"1. Static, Motor Drive (hidden ability)",2 Speed,"200 (26.1% with PokéBall, full HP)",50 (normal),150,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",55,220,314,75,139,273,60,112,240,75,139,273,60,112,240,103,189,335
Empoleon,"Water, Steel",Emperor Pokémon,1.7 m (5′07″),84.5 kg (186.3 lbs),"1. Torrent, Defiant (hidden ability)",3 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),239,Medium Slow,"Field, Water 1","87.5% male, 12.5% female","20 (4,884–5,140 steps)",84,278,372,86,159,298,88,162,302,111,204,353,101,186,331,60,112,240
Enamorus Incarnate Forme,"Fairy, Flying",Love-Hate Pokémon,1.6 m (5′03″),48.0 kg (105.8 lbs),"1. Cute Charm, Contrary (hidden ability)",3 Sp. Atk,"3 (0.4% with PokéBall, full HP)",50 (normal),116,Slow,Undiscovered,"0% male, 100% female","20 (4,884–5,140 steps)",74,258,352,115,211,361,70,130,262,135,247,405,80,148,284,106,195,342
Enamorus Therian Forme,"Fairy, Flying",Love-Hate Pokémon,1.6 m (5′03″),48.0 kg (105.8 lbs),1. Overcoat,3 Sp. Atk,"3 (0.4% with PokéBall, full HP)",50 (normal),116,Slow,Undiscovered,"0% male, 100% female","20 (4,884–5,140 steps)",74,258,352,115,211,361,110,202,350,135,247,405,100,184,328,46,87,210
Entei,Fire,Volcano Pokémon,2.1 m (6′11″),198.0 kg (436.5 lbs),"1. Pressure, Inner Focus (hidden ability)","1 HP, 2 Attack","3 (0.4% with PokéBall, full HP)",35 (lower than normal),261,Slow,Undiscovered,Genderless,"80 (20,304–20,560 steps)",115,340,434,115,211,361,85,157,295,90,166,306,75,139,273,100,184,328
